Millisecond;Counter;Pressure;Current;Temperature;Ax;Ay;Az;Gx;Gy;Gz;Mx;My;Mz;
1520245;3012;102.0808;16.15;26.82;-0.22;-0.96;-0.1;1.28;2.52;-0.87;45.28;17.99;9.9; 
1520749;3013;102.08;16.14;26.82;-0.22;-0.96;-0.09;-1.63;2.61;4.61;46.03;17.84;10.05; 
1521254;3014;102.0802;16.15;26.82;-0.22;-0.96;-0.09;-2.23;3.95;-8.08;45.88;18.59;10.2; 
1521758;3015;102.0787;16.15;26.85;-0.22;-0.97;-0.09;-0.52;-1.53;8.93;46.48;18.29;8.4; 
1522262;3016;102.0808;16.15;26.85;-0.22;-0.96;-0.1;0.17;1.62;-0.67;46.33;17.54;9.15; 
1522767;3017;101.9362;16.15;26.82;-0.22;-2;-0.33;23.77;92.15;-19.51;46.48;14.39;12.89; 
1523271;3018;101.8089;16.15;26.82;0.05;-2;-0.16;-7.88;106.34;4.23;46.78;3.6;7.8; 
1523775;3019;101.719;16.14;26.85;-0.47;-2;0.76;-7.1;180.35;-8.37;46.03;-10.05;12.15; 
1524280;3020;101.2493;16.15;26.8;-0.59;-2;0.92;7.86;222.47;-3.94;46.03;-7.05;34.04; 
1524784;3021;100.2996;16.15;26.8;-0.2;-1.4;0.91;3.42;250.13;3.94;46.18;17.69;17.69; 
1525288;3022;98.9751;16.15;26.8;-0.1;1.56;0.81;-11.82;250.13;-38.72;43.63;-6.75;8.25; 
1525793;3023;97.6301;16.14;26.8;-0.18;2;0.46;10.17;250.13;34.69;46.78;0.6;32.09; 
1526297;3024;96.3054;16.15;26.8;-0.27;2;0.33;-5.05;222.38;2.2;46.03;13.04;9.15; 
1526802;3025;95.3119;16.14;26.77;-0.19;1.79;0.32;-8.64;203.07;-18.26;45.88;-12;11.4; 
1527306;3026;94.7689;16.15;26.77;-0.23;1.55;0.26;0.76;188.52;13.83;46.18;-7.5;33.29; 
1527810;3027;94.1751;16.15;26.77;-0.12;1.29;0.09;5.47;183.4;-5.1;47.38;12.89;25.19; 
1528315;3028;93.3038;16.15;26.77;-0.13;1.08;0.2;-4.11;173.25;-13.36;47.08;7.8;4.5; 
1528819;3029;92.8717;16.14;26.77;-0.16;0.98;0;-14.81;146.58;20.46;45.73;-9.15;8.85; 
1529323;3030;91.9279;16.15;26.77;-0.11;0.78;0.14;0.93;126.55;-3.56;44.68;-12.89;25.79; 
1529828;3031;91.6811;16.14;26.77;-0.09;0.69;0.11;2.14;118.47;-1.92;45.58;-2.7;34.79; 
1530332;3032;91.07;16.15;26.77;-0.12;0.58;0;-8.47;108.6;3.65;46.03;10.65;28.34; 
1530836;3033;90.6317;16.14;26.75;-0.04;0.51;0.11;-0.26;101.5;-7.21;45.43;14.84;13.04; 
1531341;3034;90.1969;16.15;26.77;-0.06;0.44;0.06;-2.4;88.73;-1.83;45.28;6.6;3.3; 
1531845;3035;89.7155;16.14;26.77;-0.04;0.34;0.04;-6;80.56;0.18;45.13;-3.75;2.85; 
1532349;3036;89.3076;16.15;26.77;-0.04;0.29;0.04;-4.46;75.8;0.67;43.18;-12.59;9.6; 
1532854;3037;88.8831;16.14;26.77;-0.03;0.25;0.01;-2.66;66.11;0.76;43.63;-16.34;21.14; 
1533358;3038;87.0831;16.15;26.77;0.39;0.64;0.12;-0.35;76.98;12.2;43.18;-12.89;30.59; 
1533863;3039;86.7835;16.14;26.77;0.04;0.44;-0.07;31.63;32.96;0.09;41.08;-18.89;25.49; 
1534367;3040;86.5223;16.15;26.8;0.11;0.34;0;22.92;-17.51;21.8;40.63;-18.74;24.44; 
1534871;3041;86.1671;16.15;26.77;0.01;0.5;0;-10.44;-92.95;-0.96;37.33;-22.94;24.74; 
1534375;3042;85.8397;16.14;26.8;0.08;0.19;0;-13.86;-42.84;-4.72;37.48;-19.79;8.4;
1535880;3043;85.5879;16.14;26.77;-0.1;0.23;0.07;-15.05;-16.61;-7.88;35.39;-18.59;1.8; 
1536384;3044;85.3876;16.15;26.8;0.09;0.07;-0.03;-10.27;31.8;4.7;31.94;-18.44;-1.05; 
1536889;3045;85.2556;16.14;26.8;0.12;0.08;-0.03;-7.02;82.99;-4.52;30.74;-29.84;15.44; 
1537393;3046;85.1781;16.15;26.8;0.1;0.07;-0.01;8.12;38.53;-36.52;22.19;-34.79;29.39; 
1537897;3047;85.1439;16.14;26.8;0.09;0.07;-0.01;25.48;38;-42.27;4.95;-34.04;44.83; 
1538402;3048;85.1599;16.14;26.8;0.09;0.07;-0.01;27.02;-27.48;-50.93;-14.54;-34.04;46.93; 
1538906;3049;85.2259;16.14;26.82;0.04;0.09;-0.03;12.4;-1.79;-56.78;-33.89;-28.19;33.59; 
1539410;3050;85.333;16.14;26.82;0.03;0.07;-0.04;5.47;48.23;-11.44;-41.53;-15.14;35.54; 
1539915;3051;85.4775;16.15;26.82;0.05;0.11;-0.01;1.62;41.15;-5.86;-45.73;-5.85;37.33; 
1540419;3052;85.6757;16.14;26.82;-0.01;0.15;-0.01;8.63;28.66;-7.59;-44.23;-0.15;36.14; 
1540924;3053;85.8983;16.14;26.82;0;0.23;0.03;11.97;24.7;6.24;-45.88;3.3;30.89; 
